HolderAddress,Balance,PendingBalanceUpdate,,"{""address"":[",,0,,
0x693c188e40f760ecf00d2946ef45260b84fbc43e,1.00E-18,No,"0x559c4b03a2474b04074c3678d08fd5b8bae85028,","0x559c4b03a2474b04074c3678d08fd5b8bae85028,",0x559c4b03a2474b04074c3678d08fd5b8bae85028,0,0,
0x58edb6f0ffffe081de157789053cee5dcd774da0,1.00E-18,No,"0xf3881e1a018ccc24f1c78aed70a4b84db04c05e4,","0xf3881e1a018ccc24f1c78aed70a4b84db04c05e4,",0xf3881e1a018ccc24f1c78aed70a4b84db04c05e4,0,0,
0x3f499fe484a61af03b01ea5c81eab14f67c11a5a,1.00E-18,No,"0x859942147a9f109cb4207dcb030783d1ff7dea4c,","0x859942147a9f109cb4207dcb030783d1ff7dea4c,",0x859942147a9f109cb4207dcb030783d1ff7dea4c,0,0,
0xee29fa63e27a392f454accd489233f4483174025,1.00E-18,No,"0x3a9a43fce86165c96b885886dd1766aca9d399fb,","0x3a9a43fce86165c96b885886dd1766aca9d399fb,",0x3a9a43fce86165c96b885886dd1766aca9d399fb,0,0,25172.82485
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1.00E-18,No,"0xfe04b6a0f77f5c6d5f4cf7913919a31c2f13f593,","0xfe04b6a0f77f5c6d5f4cf7913919a31c2f13f593,",0xfe04b6a0f77f5c6d5f4cf7913919a31c2f13f593,0,0,
0xffbbafadef0e06676eedd3b727c2e4d48907c754,1.00E-18,No,"0x92a59c3177b2b54315abf1a35648b40593f6063e,","0x92a59c3177b2b54315abf1a35648b40593f6063e,",0x92a59c3177b2b54315abf1a35648b40593f6063e,0,0,
0x743dd3139c6b70f664ab4329b2cde646f0bac99a,1.00E-18,No,"0x5d48b8b71e34e7f89438c71841c9cface8c8ebcd,","0x5d48b8b71e34e7f89438c71841c9cface8c8ebcd,",0x5d48b8b71e34e7f89438c71841c9cface8c8ebcd,0,0,
0x494cc492c9f01699bff1449180201dbfbd592ea5,1.00E-18,No,"0x2e25bb8cce37b7f7043d1318788efcf934a9d7b7,","0x2e25bb8cce37b7f7043d1318788efcf934a9d7b7,",0x2e25bb8cce37b7f7043d1318788efcf934a9d7b7,0,0,
0x0000000071e801062eb0544403f66176bba42dc0,1.00E-18,No,"0xbb4c088f410efde0684dac2dbc774241bdd5cf10,","0xbb4c088f410efde0684dac2dbc774241bdd5cf10,",0xbb4c088f410efde0684dac2dbc774241bdd5cf10,5.215722361,0,
0x00000000002bde777710c370e08fc83d61b2b8e1,1.00E-18,No,"0x66d45a58cf49f054938c0a288793c420fe98bb04,","0x66d45a58cf49f054938c0a288793c420fe98bb04,",0x66d45a58cf49f054938c0a288793c420fe98bb04,0.079976444,0,
0x8be4db5926232bc5b02b841dbede8161924495c4,1.00E-18,No,"0x98d279de82eb4c6c41af9df8a7e28d8e3593a52f,","0x98d279de82eb4c6c41af9df8a7e28d8e3593a52f,",0x98d279de82eb4c6c41af9df8a7e28d8e3593a52f,0,0,4879
0x5f3e759d09e1059e4c46d6984f07cbb36a73bdf1,1.00E-18,No,"0x27a22cb5867a9f9243ff49b26ccacb6513b881ba,","0x27a22cb5867a9f9243ff49b26ccacb6513b881ba,",0x27a22cb5867a9f9243ff49b26ccacb6513b881ba,0,9441,
0x000000000000740a22fa209cf6806d38f7605385,1.00E-18,No,"0x6f857d759708baca8f166d07019fc6cd0942f305,","0x6f857d759708baca8f166d07019fc6cd0942f305,",0x6f857d759708baca8f166d07019fc6cd0942f305,0,0,
0x000000000000084e91743124a982076c59f10084,1.00E-18,No,"0x450a6049e00c72c8205424a1f3d752ad06382fb9,","0x450a6049e00c72c8205424a1f3d752ad06382fb9,",0x450a6049e00c72c8205424a1f3d752ad06382fb9,0,0,
0x766445e101a5952a7313aef94ff79444302b2126,1.00E-18,No,"0xd082ee92d00b675cfbedd3b793db95eaafaa91db,","0xd082ee92d00b675cfbedd3b793db95eaafaa91db,",0xd082ee92d00b675cfbedd3b793db95eaafaa91db,0,0,
0x855a5b16782304d3382dd764ef69a10efbeb9a77,1.00E-18,No,"0x823ea9567eccd2c0c165f758c7fb473799eb2284,","0x823ea9567eccd2c0c165f758c7fb473799eb2284,",0x823ea9567eccd2c0c165f758c7fb473799eb2284,0,0,
0xafe0e7de1ff45bc31618b39dfe42dd9439eebb32,1.00E-18,No,"0xe9320314d109d41380cbc06bafddd834db9ae71d,","0xe9320314d109d41380cbc06bafddd834db9ae71d,",0xe9320314d109d41380cbc06bafddd834db9ae71d,0,0,
0x8f751dce143d52ad9d686f55afb42785add557c9,1.00E-18,No,"0x321b7f8df56f36fb7b7f306a058bef29ed4e8732,","0x321b7f8df56f36fb7b7f306a058bef29ed4e8732,",0x321b7f8df56f36fb7b7f306a058bef29ed4e8732,0,,
0x3f2a2b2729f624bd23f252f46bae42628d822a6e,1.00E-18,No,"0xced623491e5f03042e7e7cac7dda83b8ecb4f8c6,","0xced623491e5f03042e7e7cac7dda83b8ecb4f8c6,",0xced623491e5f03042e7e7cac7dda83b8ecb4f8c6,0,,
0x000000a61aa8c4e48a832cc39655ef8156097aa2,1.00E-18,No,"0x433c1a6d749c64d472386d28676981a1bbf73087,","0x433c1a6d749c64d472386d28676981a1bbf73087,",0x433c1a6d749c64d472386d28676981a1bbf73087,0,,
0x00000000dc0e59517a8114348d9130e7d3835832,1.00E-18,No,"0x277d4cca52500e54c30878a43d8786fd021e2e20,","0x277d4cca52500e54c30878a43d8786fd021e2e20,",0x277d4cca52500e54c30878a43d8786fd021e2e20,0,,
0x00bf034cec51975faece51b285724301436b21c4,1.00E-18,No,"0x985ce7b7f875ee1c554a34937e1368edf6bf6d6f,","0x985ce7b7f875ee1c554a34937e1368edf6bf6d6f,",0x985ce7b7f875ee1c554a34937e1368edf6bf6d6f,0,,
0x79468b6887c4b1fc8dc67248ca1e6ad5a2f6c770,1.00E-18,No,"0x139a7242b7468d236509a19892eab16ddc6e6c9d,","0x139a7242b7468d236509a19892eab16ddc6e6c9d,",0x139a7242b7468d236509a19892eab16ddc6e6c9d,0,,
0xa084ad53abd303a90482aede702ba23f1596acdd,1.00E-18,No,"0x1a909d17f7e641fed3198bf6c17568f6badfbcc2,","0x1a909d17f7e641fed3198bf6c17568f6badfbcc2,",0x1a909d17f7e641fed3198bf6c17568f6badfbcc2,9.891153571,,
0x9413f56b19b5cdc9a67a5757b954c2b313480c40,1.00E-18,No,"0xd9e537bec9ee25a9333aebd13cb1389a1b8e966c,","0xd9e537bec9ee25a9333aebd13cb1389a1b8e966c,",0xd9e537bec9ee25a9333aebd13cb1389a1b8e966c,0,,
0x15489e985488f980b21d83f93ff9cbe962b20f20,1.00E-18,No,"0xc14a2c876fee203528d2ef5ab3d0a7f9e61b6edd,","0xc14a2c876fee203528d2ef5ab3d0a7f9e61b6edd,",0xc14a2c876fee203528d2ef5ab3d0a7f9e61b6edd,0,,
0x1d6e8bac6ea3730825bde4b005ed7b2b39a2932d,1.00E-18,No,"0x46011a733db68fdbaae0d44fb44b27c53dc8d787,","0x46011a733db68fdbaae0d44fb44b27c53dc8d787,",0x46011a733db68fdbaae0d44fb44b27c53dc8d787,0,,
0x000000ed5113006b6f24002dd7577bb547e2005a,1.00E-18,No,"0xc3844b782e0d62d3d92fff6badcddb8c780a2714,","0xc3844b782e0d62d3d92fff6badcddb8c780a2714,",0xc3844b782e0d62d3d92fff6badcddb8c780a2714,0,,
0x577a32aa9c40cf4266e49fc1e44c749c356309bd,1.00E-18,No,"0x86f409e122c7f3ac14c96d0fe213f4410eec54cb,","0x86f409e122c7f3ac14c96d0fe213f4410eec54cb,",0x86f409e122c7f3ac14c96d0fe213f4410eec54cb,11.00154298,,
0x00000000cd47aa64daf64f5144b0d7885754374c,1.00E-18,No,"0x9eb97bf8fef03f7599736e8263cb78f4f087384c,","0x9eb97bf8fef03f7599736e8263cb78f4f087384c,",0x9eb97bf8fef03f7599736e8263cb78f4f087384c,0,,
0xc40037dbe19d0e208904a5cfbd8edaa34a87958a,1.00E-18,No,"0x38d8ca599b6280ef5e3d47761853247c546f97e6,","0x38d8ca599b6280ef5e3d47761853247c546f97e6,",0x38d8ca599b6280ef5e3d47761853247c546f97e6,0,,
0x00000000f515b28e81a0e98ea3f4f816ef7e62b2,1.00E-18,No,"0xfa9145d07b7598a518d6d45310ff2ef23a4caa0e,","0xfa9145d07b7598a518d6d45310ff2ef23a4caa0e,",0xfa9145d07b7598a518d6d45310ff2ef23a4caa0e,0,,
0x00000000e8b06d9bf77ba40fc89e4eaa4f225e5c,1.00E-18,No,"0xde3aa248c96cf6da147653fdec32fa930eafb3e6,","0xde3aa248c96cf6da147653fdec32fa930eafb3e6,",0xde3aa248c96cf6da147653fdec32fa930eafb3e6,0,,
0x49307d775728daf1d4736ab762de0cefd035e323,1.00E-18,No,"0x6a325446f44d2a2a6bbbb679c09d8cb5b785ede8,","0x6a325446f44d2a2a6bbbb679c09d8cb5b785ede8,",0x6a325446f44d2a2a6bbbb679c09d8cb5b785ede8,0,,
0x0724ee5d148584c39425af7777a12bab54fa880a,1.00E-18,No,"0x54f0fc1d8e29a55a1743c2272625523b5c65fef5,","0x54f0fc1d8e29a55a1743c2272625523b5c65fef5,",0x54f0fc1d8e29a55a1743c2272625523b5c65fef5,0,,
0x00000000acd5ca17eee6d92d9ca121543126cce1,1.00E-18,No,"0x8db732c9533e76595af77112d3451a30c1bfd797,","0x8db732c9533e76595af77112d3451a30c1bfd797,",0x8db732c9533e76595af77112d3451a30c1bfd797,0,,
0x0000000033431f236e97fa549b367827360effd7,1.00E-18,No,"0xdc8137be07957766119b27eccab0a3e44ba7d6ff,","0xdc8137be07957766119b27eccab0a3e44ba7d6ff,",0xdc8137be07957766119b27eccab0a3e44ba7d6ff,0,,
0x000000917de6037d52b1f0a306eecd208405f7cd,1.00E-18,No,"0x7d692dab86229f7c0da9c2249eb64764d18bfe71,","0x7d692dab86229f7c0da9c2249eb64764d18bfe71,",0x7d692dab86229f7c0da9c2249eb64764d18bfe71,0,,
0x00000000c9fdd743c60055c0e4ea30d266272c1f,1.00E-18,No,"0xbbdaab12941e7103ee2ca2d3a0587d4264285048,","0xbbdaab12941e7103ee2ca2d3a0587d4264285048,",0xbbdaab12941e7103ee2ca2d3a0587d4264285048,0,,
0xc0cfdbe3df229f08da653345ee6d627f747cf7c1,1.00E-18,No,"0x5e37844422b24c748491a39295ac8b1c13bdf21d,","0x5e37844422b24c748491a39295ac8b1c13bdf21d,",0x5e37844422b24c748491a39295ac8b1c13bdf21d,0,,
0x45544abf5936deb78490d38ec42b80757d16c014,1.00E-18,No,"0x0522ce6865c3e443dc329f4b3f1420e21431e5c8,","0x0522ce6865c3e443dc329f4b3f1420e21431e5c8,",0x0522ce6865c3e443dc329f4b3f1420e21431e5c8,0,,
0xcff2d6bf21e6835a144ef668809adec4b4e9c395,1.00E-18,No,"0x914865d8a6032088018ec9b677763ca376fa3972,","0x914865d8a6032088018ec9b677763ca376fa3972,",0x914865d8a6032088018ec9b677763ca376fa3972,0,,
0xe3c77b264c224ab4702584a0686c0ada6a83894a,1.00E-18,No,"0x7b2fef92d1c73c90ad17f09d0dc6aa93c79ec841,","0x7b2fef92d1c73c90ad17f09d0dc6aa93c79ec841,",0x7b2fef92d1c73c90ad17f09d0dc6aa93c79ec841,0,,
0x00000000003b3cc22af3ae1eac0440bcee416b40,1.00E-18,No,"0xa7d4363d943a4395710e88519386d80de6abff54,","0xa7d4363d943a4395710e88519386d80de6abff54,",0xa7d4363d943a4395710e88519386d80de6abff54,0,,
